original,translate
Flying Polyp immune to,飞行的多孔菌免疫于
Dragon's Herald immune to,龙的使者免疫于
Evolved immune to,进化免疫于
Newborne immune to,新生免疫于
Vessel immune to,载体免疫于
Stalker immune to,跟踪者免疫于
Giant Spider immune to,巨型蜘蛛免疫于
Large Spider immune to,大型蜘蛛免疫于
Shambler immune to,摇摇晃晃者免疫于
Frost Shambler immune to,冰霜摇摇晃晃者免疫于
Reaver Berserker immune to,攻掠狂暴者免疫于
Brigand Archer immune to,海盗弓箭手免疫于
Brigand Rogue immune to,海盗盗贼免疫于
Brigand Swordsman immune to,海盗剑士免疫于
Mad Sailor immune to,疯狂水手免疫于
Mad Sailo immune to,疯狂水手免疫于
Guild Magos immune to,行会魔导士免疫于
Guild Mag immune to,行会魔导士免疫于
Wight immune to,僵尸王免疫于
Feral Clone immune to,野性克隆体免疫于
Jester immune to,小丑免疫于
Reaver Brute immune to,拆卸野蛮人免疫于
Reaver Scout immune to,拆卸斥候免疫于
Reaver immune to,拆卸者免疫于
Reaver Blackguard immune to,拆卸者黑卫兵免疫于
Reaver Mystic immune to,拆卸者灵能者免疫于
Cultist immune to,教派成员免疫于
Bobbert the Recruit immune to,沃伯特新兵免疫于
Wreck Picker immune to,拆卸拾荒者免疫于
Oleg the Gray immune to,格里格奥尔灰烬免疫于
Red Kala immune to,红卡拉免疫于
The Butcher immune to,屠夫免疫于
Snow immune to,雪免疫于
The Ancient King immune to,古老国王免疫于
Joran the Usurper immune to,约ran篡位者免疫于
Baroness immune to,伯爵夫人免疫于
Handmaid immune to,女仆免疫于
Majordomo immune to,家庭总管免疫于
#Combatant immune to the condition,#Combatant免疫于某种状态
{PLAYER} immune to the condition,__PLACEHOLDER_0__免疫于某种状态
Kat immune to the condition,卡特免疫于某种状态
Roland immune to the condition,罗兰免疫于某种状态
Driina immune to the condition,德里娜免疫于某种状态
Iben immune to the condition,伊本免疫于某种状态
Iago immune to the condition,伊阿哥免疫于某种状态
Embla immune to the condition,伊姆拉免疫于某种状态
Giant Bat immune to the condition,巨型蝙蝠免疫于某种状态
Giant Beetle immune to the condition,巨型甲虫免疫于某种状态
Rhino Beetle immune to the condition,巨型犀金虫免疫于某种状态
Carrion Crawler immune to the condition,腐肉爬行者免疫于某种状态
Giant Centipede immune to the condition,巨型蜈蚣免疫于某种状态
Fell Crab immune to the condition,恶狼蟹免疫于某种状态
Corpse Eater immune to the condition,尸体吞噬者免疫于某种状态
Giant Crab immune to the condition,巨型螃蟹免疫于某种状态
Crab immune to the condition,螃蟹对该状态免疫
Rot Crab immune to the condition,腐烂螃蟹对该状态免疫
Spider Crab immune to the condition,石蟹对该状态免疫
Brood Guard immune to the condition,群落卫士对该状态免疫
Father immune to the condition,父亲对该状态免疫
Deep One Priestess immune to the condition,深海祭司对该状态免疫
Deep One Queen immune to the condition,深海女王对该状态免疫
Deep One Warrior immune to the condition,深海战士对该状态免疫
Devolved immune to the condition,退化生物对该状态免疫
Ghoul immune to the condition,地ombie对该状态免疫
Frost Ghoul immune to the condition,寒冰地ombie对该状态免疫
Giant Gnat immune to the condition,巨型蚊子对该状态免疫
Cave Gnat immune to the condition,山洞蚊子对该状态免疫
Fell Hog immune to the condition,深渊野猪对该状态免疫
Dire Hound immune to the condition,野犬对该状态免疫
Fell Hound immune to the condition,深渊犬对该状态免疫
Ice Hound immune to the condition,寒冰犬对该状态免疫
Ice Strider immune to the condition,寒冰行者对该状态免疫
Shadow Stalker immune to the condition,影踪追踪者对该状态免疫
Giant Leech immune to the condition,巨型血吸虫对该状态免疫
Albino Leech immune to the condition,白化吸血虫对该状态免疫
Bloodletter immune to the condition,血书虫对该状态免疫
Fell Lizard immune to the condition,恶魔蜥蜴对该状态免疫
Alpha Lizard immune to the condition,雌雄同体蜥蜴对该状态免疫
Giant Lizard immune to the condition,巨型蜥蜴对该状态免疫
Ice Salamander immune to the condition,冰火蜥蜴对该状态免疫
Mold Child immune to the condition,霉菌子代对该状态免疫
Ooze immune to the condition,脂膏怪对该状态免疫
Flesh Ooze immune to the condition,肉脂膏怪对该状态免疫
Medusa Jelly immune to the condition,巨型水母对该状态免疫
Risen Ooze immune to the condition,复生脂膏怪对该状态免疫
Magma Ooze immune to the condition,火山脂膏怪对该状态免疫
Magmite immune to the condition,火山熔岩对该状态免疫
Large Ooze immune to the condition,大型脂膏怪对该状态免疫
Giant Rat immune to the condition,巨型老鼠对该状态免疫
Dire Rat immune to the condition,恶魔老鼠对该状态免疫
Chitters-In-Darkness immune to the condition,黑暗之耳对该状态免疫
Rabid Rat immune to the condition,疯狂老鼠对该状态免疫
Shade immune to the condition,阴影对该状态免疫
Dire Serpent immune to the condition,恶魔巨蛇对该状态免疫
Fell Serpent immune to the condition,坠落巨蛇对该状态免疫
Giant Snake immune to the condition,巨型蟒蛇对该状态免疫
Fleshstrider immune to the condition,肉行者对该状态免疫
Flying Polyp immune to the condition,飞行的水泡菇对该状态免疫
Dragon's Herald immune to the condition,龙之使者对该状态免疫
Evolved immune to the condition,进化者对该状态免疫
Newborne immune to the condition,新生者对该状态免疫
Vessel immune to the condition,载体对该状态免疫
Stalker immune to the condition,跟踪者对该状态免疫
Giant Spider immune to the condition,巨型蜘蛛对该状态免疫
Large Spider immune to the condition,大型蜘蛛对该状态免疫
Shambler immune to the condition,摇摇者对该状态免疫
Frost Shambler immune to the condition,冰霜摇摇者对该状态免疫
Reaver Berserker immune to the condition,攫取狂战士对该状态免疫
Brigand Archer immune to the condition,海盗弓手对该状态免疫
Brigand Rogue immune to the condition,海盗盗贼对该状态免疫
Brigand Swordsman immune to the condition,海盗剑士对该状态免疫
Mad Sailor immune to the condition,疯狂水手对该状态免疫
Mad Sailo immune to the condition,疯狂水手对该状态免疫
Guild Magos immune to the condition,行会魔导士对该状态免疫
Guild Mag immune to the condition,行会法师对该状态免疫
Wight immune to the condition,阴尸对该状态免疫
Feral Clone immune to the condition,野性分身对该状态免疫
Jester immune to the condition,小丑对该状态免疫
Reaver Brute immune to the condition,残暴掠夺者对该状态免疫
Reaver Scout immune to the condition,掠夺者斥候对该状态免疫
Reaver immune to the condition,掠夺者对该状态免疫
Reaver Blackguard immune to the condition,黑卫掠夺者对该状态免疫
Reaver Mystic immune to the condition,心灵法师掠夺者对该状态免疫
Cultist immune to the condition,教派成员对该状态免疫
Bobbert the Recruit immune to the condition,招募兵鲍伯特对该状态免疫
Wreck Picker immune to the condition,毁灭拾荒者对该状态免疫
Oleg the Gray immune to the condition,灰色奥列格对该状态免疫
Red Kala immune to the condition,红色卡拉对该状态免疫
The Butcher immune to the condition,屠夫对该状态免疫
Snow immune to the condition,雪对该状态免疫
The Ancient King immune to the condition,古老国王对该状态免疫
Joran the Usurper immune to the condition,乔兰篡位者对该状态免疫
Baroness immune to the condition,女伯爵对该状态免疫
Handmaid immune to the condition,女仆对该状态免疫
Majordomo immune to the condition,大总管对该状态免疫
