original,translate
Masterwork Horned Helmet of Defence,精工角盔（防御）
Masterwork Horned Helmet of Diplomacy,精工角盔（外交）
Masterwork Horned Helmet of Fortitude,精工角盔（坚韧）
Masterwork Horned Helmet of Healing,精工角盔（治疗）
Masterwork Horned Helmet of Celerity,精工角盔（迅捷）
Masterwork Horned Helmet of Intellect,精工角盔（智力）
Masterwork Horned Helmet of Lore,精工角盔（知识）
Masterwork Horned Helmet of Presence,精工角盔（魅力）
Masterwork Horned Helmet of Speed,精工角盔（速度）
Masterwork Horned Helmet of Stealth,精工角盔（潜行）
Masterwork Horned Helmet of Strength,精工角盔（力量）
Masterwork Horned Helmet of Survival,精工角盔（生存）
Masterwork Horned Helmet of Thievery,精工角盔（偷盗）
Masterwork Horned Helmet of Toughness,精工角盔（坚韧）
Masterwork Horned Helmet of Willpower,精工角盔（意志）
Masterwork Mail Coif of Agility,精工锁甲护颈（敏捷）
Masterwork Mail Coif of Athletics,精工锁甲护颈· athleticism
Masterwork Mail Coif of Awareness,精工锁甲护颈· awareness
Masterwork Mail Coif of Crafting,精工锁甲护颈· craftsmanship
Masterwork Mail Coif of Defence,精工锁甲护颈· defence
Masterwork Mail Coif of Diplomacy,精工锁甲护颈· diplomacy
Masterwork Mail Coif of Fortitude,精工锁甲护颈· fortitude
Masterwork Mail Coif of Healing,精工锁甲护颈· healing
Masterwork Mail Coif of Celerity,精工锁甲护颈· celerity
Masterwork Mail Coif of Intellect,精工锁甲护颈· intellect
Masterwork Mail Coif of Lore,精工锁甲护颈· lore
Masterwork Mail Coif of Presence,精工锁甲护颈· presence
Masterwork Mail Coif of Speed,精工锁甲护颈· speed
Masterwork Mail Coif of Stealth,精工锁甲护颈· stealth
Masterwork Mail Coif of Strength,精工锁甲护颈· strength
Masterwork Mail Coif of Survival,精工锁甲护颈· survival
Masterwork Mail Coif of Thievery,精工锁甲护颈· thievery
Masterwork Mail Coif of Toughness,精工锁甲护颈· toughness
Masterwork Mail Coif of Willpower,精工锁甲护颈· willpower
Masterwork Plumed Helmet of Agility,精工羽盔· agility
Masterwork Plumed Helmet of Athletics,精工羽盔· athleticism
Masterwork Plumed Helmet of Awareness,精工羽冠·警觉
Masterwork Plumed Helmet of Crafting,精工羽冠·工艺
Masterwork Plumed Helmet of Defence,精工羽冠·防御
Masterwork Plumed Helmet of Diplomacy,精工羽冠·外交
Masterwork Plumed Helmet of Fortitude,精工羽冠·坚韧
Masterwork Plumed Helmet of Healing,精工羽冠·治疗
Masterwork Plumed Helmet of Celerity,精工羽冠·迅捷
Masterwork Plumed Helmet of Intellect,精工羽冠·智识
Masterwork Plumed Helmet of Lore,精工羽冠·学识
Masterwork Plumed Helmet of Presence,精工羽冠·魅力
Masterwork Plumed Helmet of Speed,精工羽冠·速度
Masterwork Plumed Helmet of Stealth,精工羽冠·潜行
Masterwork Plumed Helmet of Strength,精工羽冠·力量
Masterwork Plumed Helmet of Survival,精工羽冠·生存
Masterwork Plumed Helmet of Thievery,精工羽冠·偷盗
Masterwork Plumed Helmet of Toughness,精工羽冠·坚韧
Masterwork Plumed Helmet of Willpower,精工羽冠·意志
Officer's Helmet of Agility,高级军官羽冠·敏捷
Officer's Helmet of Athletics,高级军官羽冠·体能
Officer's Helmet of Awareness,高级军官羽冠·警觉
Officer's Helmet of Crafting,长官之制帽
Officer's Helmet of Defence,长官之防御帽
Officer's Helmet of Diplomacy,长官之外交帽
Officer's Helmet of Fortitude,长官之坚毅帽
Officer's Helmet of Healing,长官之治愈帽
Officer's Helmet of Celerity,长官之迅捷帽
Officer's Helmet of Intellect,长官之智识帽
Officer's Helmet of Lore,长官之学识帽
Officer's Helmet of Presence,长官之气场帽
Officer's Helmet of Speed,长官之速度帽
Officer's Helmet of Stealth,长官之潜行帽
Officer's Helmet of Strength,长官之力壮帽
Officer's Helmet of Survival,长官之生存帽
Officer's Helmet of Thievery,长官之偷盗帽
Officer's Helmet of Toughness,长官之坚韧帽
Officer's Helmet of Willpower,长官之意志帽
#Enchantments - Jewellery,#法术 - 配饰
Ancient Gold Necklace of Athletics,古代金运动项圈
Ancient Gold Necklace of Awareness,古代金意识项圈
Ancient Gold Necklace of Crafting,古代金制帽项圈
Ancient Gold Necklace of Defence,古代防具金项链
Ancient Gold Necklace of Diplomacy,古代外交金项链
Ancient Gold Necklace of Fortitude,古代坚毅金项链
Ancient Gold Necklace of Healing,古代治疗金项链
Ancient Gold Necklace of Celerity,古代敏捷金项链
Ancient Gold Necklace of Lore,古代知识金项链
Ancient Gold Necklace of Stealth,古代潜行金项链
Ancient Gold Necklace of Survival,古代生存金项链
Ancient Gold Necklace of Thievery,古代偷盗金项链
Ancient Gold Necklace of Toughness,古代坚韧金项链
Ancient Gold Necklace of Willpower,古代体能翡翠项链
Ancient Jade Necklace of Athletics,古代感知翡翠项链
Ancient Jade Necklace of Awareness,古代制作翡翠项链
Ancient Jade Necklace of Crafting,古代防具翡翠项链
Ancient Jade Necklace of Defence,古代外交翡翠项链
Ancient Jade Necklace of Diplomacy,古代坚毅翡翠项链
Ancient Jade Necklace of Fortitude,古代治疗翡翠项链
Ancient Jade Necklace of Healing,古代敏捷翡翠项链
Ancient Jade Necklace of Celerity,古代知识翡翠项链
Ancient Jade Necklace of Lore,古代防具翡翠项链
Ancient Jade Necklace of Stealth,古代碧玉隐匿项炼
Ancient Jade Necklace of Survival,古代碧玉生存项炼
Ancient Jade Necklace of Thievery,古代碧玉窃盗项炼
Ancient Jade Necklace of Toughness,古代碧玉坚韧项炼
Ancient Jade Necklace of Willpower,古代碧玉意志项炼
Arcane Necklace of Athletics,魔法项炼·体能
Arcane Necklace of Agility,魔法项炼·敏捷
Arcane Necklace of Awareness,魔法项炼·感知
Arcane Necklace of Crafting,魔法项炼·制作
Arcane Necklace of Defence,魔法项炼·防御
Arcane Necklace of Diplomacy,魔法项炼·外交
Arcane Necklace of Fortitude,魔法项炼·坚毅
Arcane Necklace of Healing,魔法项炼·治疗
Arcane Necklace of the Hero,魔法项炼·英雄
Arcane Necklace of Celerity,魔法项炼·迅捷
Arcane Necklace of Intellect,魔法项炼·智力
Arcane Necklace of Lore,魔法项炼·知识
Arcane Necklace of Presence,魔法项炼·存在
Arcane Necklace of Protection,魔法项炼·防护
Arcane Necklace of Speed,魔法项炼·速度
Arcane Necklace of Stealth,神秘项链·潜行
Arcane Necklace of Strength,神秘项链·力量
Arcane Necklace of Survival,神秘项链·生存
Arcane Necklace of Thievery,神秘项链·盗贼技巧
Arcane Necklace of Toughness,神秘项链·坚韧
Arcane Necklace of Willpower,神秘项链·意志
Beryl Necklace of Agility,翡翠项链·敏捷
Beryl Necklace of Athletics,翡翠项链·体能
Beryl Necklace of Awareness,翡翠项链·感知
Beryl Necklace of Crafting,翡翠项链·制作
Beryl Necklace of Defence,翡翠项链·防御
Beryl Necklace of Diplomacy,翡翠项链·外交
Beryl Necklace of Fortitude,翡翠项链·坚韧
Beryl Necklace of Healing,翡翠项链·治疗
Beryl Necklace of Celerity,翡翠项链·迅捷
Beryl Necklace of Intellect,翡翠项链·智力
Beryl Necklace of Lore,翡翠项链·知识
Beryl Necklace of Presence,翡翠项链·存在感
Beryl Necklace of Stealth,翡翠项链·潜行
Beryl Necklace of Strength,翡翠项链·力量
Beryl Necklace of Survival,碧玉生存项链
Beryl Necklace of Thievery,碧玉盗贼项链
Beryl Necklace of Toughness,碧玉坚韧项链
Beryl Necklace of Willpower,碧玉意志项链
Copper Locket of Athletics,铜制运动锁链
Copper Locket of Awareness,铜制警觉锁链
Copper Locket of Crafting,铜制制作锁链
Copper Locket of Defence,铜制防御锁链
Copper Locket of Diplomacy,铜制外交锁链
Copper Locket of Fortitude,铜制坚毅锁链
Copper Locket of Healing,铜制治疗锁链
Copper Locket of Celerity,铜制迅捷锁链
Copper Locket of Lore,铜制知识锁链
Copper Locket of Stealth,铜制潜行锁链
Copper Locket of Survival,铜制生存锁链
Copper Locket of Thievery,铜制盗贼锁链
Copper Locket of Toughness,铜制坚韧锁链
Copper Locket of Willpower,铜制意志锁链
Coral Necklace of Agility,珊瑚敏捷项链
Coral Necklace of Athletics,珊瑚运动项链
Coral Necklace of Awareness,珊瑚意识项链
Coral Necklace of Crafting,珊瑚工艺项链
Coral Necklace of Defence,珊瑚防御项链
Coral Necklace of Diplomacy,珊瑚外交项链
Coral Necklace of Fortitude,珊瑚坚韧项链
Coral Necklace of Healing,珊瑚治疗项链
Coral Necklace of Celerity,珊瑚迅捷项链
Coral Necklace of Intellect,珊瑚智力项链
Coral Necklace of Lore,珊瑚知识项链
Coral Necklace of Presence,珊瑚威严项链
Coral Necklace of Stealth,珊瑚潜行项链
Coral Necklace of Strength,珊瑚力量项链
Coral Necklace of Survival,珊瑚生存项链
Coral Necklace of Thievery,珊瑚偷盗项链
Coral Necklace of Toughness,珊瑚坚韧项链
Coral Necklace of Willpower,珊瑚意志项链
Diamond Necklace of Athletics,钻石体能项链
Diamond Necklace of Agility,钻石敏捷项链
Diamond Necklace of Awareness,钻石意识项链
Diamond Necklace of Crafting,钻石工艺项链
Diamond Necklace of Defence,防御钻颈饰
Diamond Necklace of Diplomacy,交际钻颈饰
Diamond Necklace of Fortitude,坚韧钻颈饰
Diamond Necklace of Healing,治疗钻颈饰
Diamond Necklace of the Hero,英雄钻颈饰
Diamond Necklace of Celerity,敏捷钻颈饰
Diamond Necklace of Intellect,智慧钻颈饰
Diamond Necklace of Lore,学识钻颈饰
Diamond Necklace of Presence,威严钻颈饰
Diamond Necklace of Protection,保护钻颈饰
Diamond Necklace of Speed,速度钻颈饰
Diamond Necklace of Stealth,暗杀钻颈饰
Diamond Necklace of Strength,力量钻颈饰
Diamond Necklace of Survival,生存钻颈饰
Diamond Necklace of Thievery,盗窃钻颈饰
Diamond Necklace of Toughness,坚固钻颈饰
Diamond Necklace of Willpower,意志钻颈饰
Firegold Necklace of Agility,火金敏捷颈饰
Firegold Necklace of Athletics,火金体能颈饰
Firegold Necklace of Awareness,火金感知颈饰
Firegold Necklace of Crafting,燃金工艺项链
Firegold Necklace of Defence,燃金防御项链
Firegold Necklace of Diplomacy,燃金外交项链
Firegold Necklace of Fortitude,燃金坚毅项链
Firegold Necklace of Healing,燃金治疗项链
Firegold Necklace of Celerity,燃金迅捷项链
Firegold Necklace of Intellect,燃金智谋项链
Firegold Necklace of Lore,燃金学识项链
Firegold Necklace of Presence,燃金气场项链
Firegold Necklace of Stealth,燃金潜行项链
Firegold Necklace of Strength,燃金力量项链
Firegold Necklace of Survival,燃金生存项链
Firegold Necklace of Thievery,燃金偷盗项链
Firegold Necklace of Toughness,燃金坚韧项链
Firegold Necklace of Willpower,燃金意志项链
Garnet Necklace of Athletics,红宝石运动项链
Garnet Necklace of Agility,红宝石敏捷项链
Garnet Necklace of Awareness,红宝石警觉项链
Garnet Necklace of Crafting,红宝石工艺项链
Garnet Necklace of Defence,红宝石防御项链
Garnet Necklace of Diplomacy,砗磲外交项炼
Garnet Necklace of Fortitude,砗磲坚毅项炼
Garnet Necklace of Healing,砗磲治愈项炼
Garnet Necklace of the Hero,砗磲英雄项炼
Garnet Necklace of Celerity,砗磲迅捷项炼
Garnet Necklace of Intellect,砗磲智巧项炼
Garnet Necklace of Lore,砗磲学识项炼
Garnet Necklace of Presence,砗磲威严项炼
Garnet Necklace of Protection,砗磲防护项炼
Garnet Necklace of Speed,砗磲速度项炼
Garnet Necklace of Stealth,砗磲潜行项炼
Garnet Necklace of Strength,砗磲力量项炼
Garnet Necklace of Survival,砗磲生存项炼
Garnet Necklace of Thievery,砗磲偷盗项炼
Garnet Necklace of Toughness,砗磲坚韧项炼
Garnet Necklace of Willpower,砗磲意志项炼
Jade Necklace of Athletics,翡翠运动项炼
Jade Necklace of Awareness,翡翠意识项炼
Jade Necklace of Crafting,翡翠制作项炼
Jade Necklace of Defence,翡翠防御项炼
Jade Necklace of Diplomacy,翡翠外交项链
Jade Necklace of Fortitude,翡翠坚毅项链
Jade Necklace of Healing,翡翠治疗项链
Jade Necklace of Celerity,翡翠迅捷项链
Jade Necklace of Lore,翡翠学识项链
Jade Necklace of Stealth,翡翠潜行项链
Jade Necklace of Survival,翡翠生存项链
Jade Necklace of Thievery,翡翠盗贼项链
Jade Necklace of Toughness,翡翠坚韧项链
Jade Necklace of Willpower,翡翠意志项链
Pagan Necklace of Agility,原始敏捷项链
Pagan Necklace of Athletics,原始体能项链
Pagan Necklace of Awareness,原始感知项链
Pagan Necklace of Crafting,原始制作项链
Pagan Necklace of Defence,原始防御项链
Pagan Necklace of Diplomacy,原始外交项链
Pagan Necklace of Fortitude,原始坚毅项链
Pagan Necklace of Healing,原始治疗项链
Pagan Necklace of Celerity,原始迅捷项链
Pagan Necklace of Intellect,原始智力项链
Pagan Necklace of Lore,异教徒知识项链
Pagan Necklace of Presence,异教徒存在项链
Pagan Necklace of Stealth,异教徒潜行项链
Pagan Necklace of Strength,异教徒力量项链
Pagan Necklace of Survival,异教徒生存项链
Pagan Necklace of Thievery,异教徒偷盗项链
Pagan Necklace of Toughness,异教徒坚韧项链
Pagan Necklace of Willpower,异教徒意志项链
Profane Necklace of Athletics,贬抑运动场项链
Profane Necklace of Agility,贬抑敏捷项链
Profane Necklace of Awareness,贬抑感知项链
Profane Necklace of Crafting,贬抑工艺项链
Profane Necklace of Defence,贬抑防御项链
Profane Necklace of Diplomacy,贬抑外交项链
Profane Necklace of Fortitude,贬抑坚韧项链
Profane Necklace of Healing,贬抑治疗项链
Profane Necklace of the Hero,贬抑英雄项链
Profane Necklace of Celerity,贬抑迅捷项链
Profane Necklace of Intellect,贬抑智力项链
Profane Necklace of Lore,贬抑知识项链
Profane Necklace of Presence,荒圣项炼·存在
Profane Necklace of Protection,荒圣项炼·防护
Profane Necklace of Speed,荒圣项炼·速度
Profane Necklace of Stealth,荒圣项炼·潜行
Profane Necklace of Strength,荒圣项炼·力量
Profane Necklace of Survival,荒圣项炼·生存
Profane Necklace of Thievery,荒圣项炼·窃盗
Profane Necklace of Toughness,荒圣项炼·坚韧
Profane Necklace of Willpower,荒圣项炼·意志
Ruby Necklace of Athletics,红宝石项炼·体育
Ruby Necklace of Awareness,红宝石项炼·意识
Ruby Necklace of Crafting,红宝石项炼·制作
Ruby Necklace of Defence,红宝石项炼·防御
Ruby Necklace of Diplomacy,红宝石项炼·外交
Ruby Necklace of Fortitude,红宝石项炼·坚毅
Ruby Necklace of Healing,红宝石项炼·治疗
Ruby Necklace of Celerity,红宝石项炼·迅捷
Ruby Necklace of Lore,红宝石项炼·学识
Ruby Necklace of Stealth,红宝石项炼·潜行
Ruby Necklace of Survival,红宝石项炼·生存
Ruby Necklace of Thievery,窃贼红宝石项链
Ruby Necklace of Toughness,坚韧红宝石项链
Ruby Necklace of Willpower,意志红宝石项链
Skull Necklace of Agility,敏捷头骨项链
Skull Necklace of Athletics,体能头骨项链
Skull Necklace of Awareness,觉知头骨项链
Skull Necklace of Crafting,制作头骨项链
Skull Necklace of Defence,防御头骨项链
Skull Necklace of Diplomacy,交际头骨项链
Skull Necklace of Fortitude,坚毅头骨项链
Skull Necklace of Healing,治疗头骨项链
Skull Necklace of Celerity,瞬捷头骨项链
Skull Necklace of Intellect,智慧头骨项链
Skull Necklace of Lore,知识头骨项链
Skull Necklace of Presence,威严头骨项链
Skull Necklace of Stealth,暗杀头骨项链
Skull Necklace of Strength,力量头骨项链
Skull Necklace of Survival,生存头骨项链
Skull Necklace of Thievery,窃贼头骨项链
Skull Necklace of Toughness,坚韧头骨项链
Skull Necklace of Willpower,骷髅力量项链
Amethyst Ring of Agility,紫水晶敏捷戒指
Amethyst Ring of Athletics,紫水晶运动戒指
Amethyst Ring of Awareness,紫水晶感知戒指
Amethyst Ring of Crafting,紫水晶工艺戒指
Amethyst Ring of Defence,紫水晶防御戒指
Amethyst Ring of Diplomacy,紫水晶外交戒指
Amethyst Ring of Fortitude,紫水晶坚毅戒指
Amethyst Ring of Healing,紫水晶治疗戒指
Amethyst Ring of Celerity,紫水晶迅捷戒指
Amethyst Ring of Lore,紫水晶学识戒指
Amethyst Ring of Presence,紫水晶威严戒指
Amethyst Ring of Stealth,紫水晶潜行戒指
Amethyst Ring of Strength,紫水晶力量戒指
Amethyst Ring of Survival,紫水晶生存戒指
Amethyst Ring of Thievery,紫水晶偷盗戒指
Amethyst Ring of Toughness,紫水晶坚韧戒指
Amethyst Ring of Willpower,骷髅力量戒指
Aquamarine Ring of Agility,海蓝宝石敏捷戒指
Aquamarine Ring of Athletics,海蓝宝石运动戒指
Aquamarine Ring of Awareness,水晶戒指·警觉
Aquamarine Ring of Crafting,水晶戒指·工艺
Aquamarine Ring of Defence,水晶戒指·防御
Aquamarine Ring of Diplomacy,水晶戒指·外交
Aquamarine Ring of Fortitude,水晶戒指·坚韧
Aquamarine Ring of Healing,水晶戒指·治疗
Aquamarine Ring of Celerity,水晶戒指·迅捷
Aquamarine Ring of Lore,水晶戒指·知识
Aquamarine Ring of Presence,水晶戒指·魅力
Aquamarine Ring of Speed,水晶戒指·速度
Aquamarine Ring of Stealth,水晶戒指·潜行
Aquamarine Ring of Strength,水晶戒指·力量
Aquamarine Ring of Survival,水晶戒指·生存
Aquamarine Ring of Thievery,水晶戒指·偷盗
Aquamarine Ring of Toughness,水晶戒指·坚韧
Aquamarine Ring of Willpower,水晶戒指·意志
Arboreal Ring of Athletics,林地戒指·体育
Arboreal Ring of Agility,林地戒指·敏捷
Arboreal Ring of Awareness,林地戒指·警觉
Arboreal Ring of Crafting,林地戒指·工艺
Arboreal Ring of Defence,树木之环·防御
Arboreal Ring of Diplomacy,树木之环·外交
Arboreal Ring of Fortitude,树木之环·坚韧
Arboreal Ring of Healing,树木之环·治疗
Arboreal Ring of the Hero,树木之环·英雄
Arboreal Ring of Celerity,树木之环·敏捷
Arboreal Ring of Intellect,树木之环·智力
Arboreal Ring of Lore,树木之环·知识
Arboreal Ring of Presence,树木之环·存在感
Arboreal Ring of Protection,树木之环·保护
Arboreal Ring of Speed,树木之环·速度
Arboreal Ring of Stealth,树木之环·潜行
Arboreal Ring of Strength,树木之环·力量
Arboreal Ring of Survival,树木之环·生存
Arboreal Ring of Thievery,树木之环·偷盗
Arboreal Ring of Toughness,树木之环·坚韧
Arboreal Ring of Willpower,树木之环·意志力
Emerald Ring of Agility,翡翠之环·敏捷
Emerald Ring of Athletics,翡翠之环·体能
Emerald Ring of Awareness,翡翠之环·意识
Emerald Ring of Crafting,翡翠工艺戒
Emerald Ring of Defence,翡翠防御戒
Emerald Ring of Diplomacy,翡翠外交戒
Emerald Ring of Fortitude,翡翠坚毅戒
Emerald Ring of Healing,翡翠治疗戒
Emerald Ring of Celerity,翡翠迅捷戒
Emerald Ring of Lore,翡翠知识戒
Emerald Ring of Presence,翡翠威望戒
Emerald Ring of Stealth,翡翠潜行戒
Emerald Ring of Strength,翡翠力量戒
Emerald Ring of Survival,翡翠生存戒
Emerald Ring of Thievery,翡翠偷盗戒
Emerald Ring of Toughness,翡翠坚韧戒
Emerald Ring of Willpower,翡翠意志戒
Fire Opal Ring of Agility,火宝石敏捷戒
Fire Opal Ring of Athletics,火宝石体能戒
Fire Opal Ring of Awareness,火宝石意识戒
Fire Opal Ring of Crafting,火宝石工艺戒
Fire Opal Ring of Defence,火宝石防御戒
Fire Opal Ring of Diplomacy,火宝石外交戒
Fire Opal Ring of Fortitude,火宝石戒指·坚定
Fire Opal Ring of Healing,火宝石戒指·治疗
Fire Opal Ring of Celerity,火宝石戒指·敏捷
Fire Opal Ring of Lore,火宝石戒指·学识
Fire Opal Ring of Presence,火宝石戒指·魅力
Fire Opal Ring of Stealth,火宝石戒指·潜行
Fire Opal Ring of Strength,火宝石戒指·力量
Fire Opal Ring of Survival,火宝石戒指·生存
Fire Opal Ring of Thievery,火宝石戒指·偷盗
Fire Opal Ring of Toughness,火宝石戒指·坚韧
Fire Opal Ring of Willpower,火宝石戒指·意志
Flowgold Ring of Agility,涌金戒指·敏捷
Flowgold Ring of Athletics,涌金戒指·体能
Flowgold Ring of Awareness,涌金戒指·感知
Flowgold Ring of Crafting,涌金戒指·制作
Flowgold Ring of Defence,涌金戒指·防御
Flowgold Ring of Diplomacy,涌金戒指·外交
Flowgold Ring of Fortitude,涌金戒指·坚定
Flowgold Ring of Healing,涌金戒指·治疗
Flowgold Ring of Celerity,涌金戒指·敏捷
Flowgold Ring of Lore,流金智慧指环
Flowgold Ring of Presence,流金存在指环
Flowgold Ring of Speed,流金迅捷指环
Flowgold Ring of Stealth,流金潜行指环
Flowgold Ring of Strength,流金力量指环
Flowgold Ring of Survival,流金生存指环
Flowgold Ring of Thievery,流金偷盗指环
Flowgold Ring of Toughness,流金坚韧指环
Flowgold Ring of Willpower,流金意志指环
Frater's Ring of Agility,弗雷特敏捷指环
Frater's Ring of Athletics,弗雷特体能指环
Frater's Ring of Awareness,弗雷特感知指环
Frater's Ring of Crafting,弗雷特制作指环
Frater's Ring of Defence,弗雷特防御指环
Frater's Ring of Diplomacy,弗雷特外交指环
Frater's Ring of Fortitude,弗雷特坚毅指环
Frater's Ring of Healing,弗雷特治疗指环
Frater's Ring of Celerity,弗雷特迅捷指环
Frater's Ring of Lore,弗雷特智慧指环
Frater's Ring of Presence,弗雷特存在指环
Frater's Ring of Speed,弗雷特速度戒指
Frater's Ring of Stealth,弗雷特潜行戒指
Frater's Ring of Strength,弗雷特力量戒指
Frater's Ring of Survival,弗雷特生存戒指
Frater's Ring of Thievery,弗雷特盗贼戒指
Frater's Ring of Toughness,弗雷特坚韧戒指
Frater's Ring of Willpower,弗雷特意志戒指
Genesis Ring of Athletics,本源运动戒
Genesis Ring of Agility,本源敏捷戒
Genesis Ring of Awareness,本源警觉戒
Genesis Ring of Crafting,本源工艺戒
Genesis Ring of Defence,本源防御戒
Genesis Ring of Diplomacy,本源外交戒
Genesis Ring of Fortitude,本源坚毅戒
Genesis Ring of Healing,本源治愈戒
Genesis Ring of the Hero,本源英雄戒
Genesis Ring of Celerity,本源迅捷戒
Genesis Ring of Intellect,本源智力戒
Genesis Ring of Lore,本源学识戒
Genesis Ring of Presence,本源威望戒
Genesis Ring of Protection,创世护腕
Genesis Ring of Speed,创世迅捷戒
Genesis Ring of Stealth,创世潜行戒
Genesis Ring of Strength,创力戒
Genesis Ring of Survival,创生戒
Genesis Ring of Thievery,创盗戒
Genesis Ring of Toughness,创韧戒
Genesis Ring of Willpower,创志戒
Green Sapphire Ring of Agility,翡翠敏捷戒
Green Sapphire Ring of Athletics,翡翠体能戒
Green Sapphire Ring of Awareness,翡翠意识戒
Green Sapphire Ring of Crafting,翡翠工艺戒
Green Sapphire Ring of Defence,翡翠防御戒
Green Sapphire Ring of Diplomacy,翡翠外交戒
Green Sapphire Ring of Fortitude,翡翠坚韧戒
Green Sapphire Ring of Healing,翡翠治疗戒
Green Sapphire Ring of Celerity,翡翠迅捷戒
Green Sapphire Ring of Lore,翡翠学识戒
Green Sapphire Ring of Presence,翡翠威严戒
Green Sapphire Ring of Speed,翡翠迅捷戒
Green Sapphire Ring of Stealth,绿翡翠戒指·潜行
Green Sapphire Ring of Strength,绿翡翠戒指·力量
Green Sapphire Ring of Survival,绿翡翠戒指·生存
Green Sapphire Ring of Thievery,绿翡翠戒指·盗贼技艺
Green Sapphire Ring of Toughness,绿翡翠戒指·坚韧
Green Sapphire Ring of Willpower,绿翡翠戒指·意志
Lapis Ring of Agility,蓝宝石戒指·敏捷
Lapis Ring of Athletics,蓝宝石戒指·体能
Lapis Ring of Awareness,蓝宝石戒指·感知
Lapis Ring of Crafting,蓝宝石戒指·制作
Lapis Ring of Defence,蓝宝石戒指·防御
Lapis Ring of Diplomacy,蓝宝石戒指·外交
Lapis Ring of Fortitude,蓝宝石戒指·坚毅
Lapis Ring of Healing,蓝宝石戒指·治疗
Lapis Ring of Celerity,蓝宝石戒指·迅捷
Lapis Ring of Lore,蓝宝石戒指·学识
Lapis Ring of Presence,蓝宝石戒指·魅力
Lapis Ring of Speed,蓝宝石戒指·速度
Lapis Ring of Stealth,蓝宝石戒指·潜行
Lapis Ring of Strength,蓝宝石戒指·力量
Lapis Ring of Survival,蓝宝石生存指环
Lapis Ring of Thievery,蓝宝石盗贼指环
Lapis Ring of Toughness,蓝宝石坚韧指环
Lapis Ring of Willpower,蓝宝石意志力指环
Lupercal Ring of Athletics,卢珀卡尔运动指环
Lupercal Ring of Agility,卢珀卡尔敏捷指环
Lupercal Ring of Awareness,卢珀卡尔警觉指环
Lupercal Ring of Crafting,卢珀卡尔制作指环
Lupercal Ring of Defence,卢珀卡尔防御指环
Lupercal Ring of Diplomacy,卢珀卡尔外交指环
Lupercal Ring of Fortitude,卢珀卡尔坚韧指环
Lupercal Ring of Healing,卢珀卡尔治疗指环
Lupercal Ring of the Hero,卢珀卡尔英雄指环
Lupercal Ring of Celerity,卢珀卡尔迅捷指环
Lupercal Ring of Intellect,卢珀卡尔智力指环
Lupercal Ring of Lore,卢珀卡尔知识指环
Lupercal Ring of Presence,卢珀卡尔魅力指环
Lupercal Ring of Protection,卢珀卡尔保护指环
Lupercal Ring of Speed,卢珀卡尔速度指环
Lupercal Ring of Stealth,卢珀卡尔潜行指环
Lupercal Ring of Strength,狼节之力戒
Lupercal Ring of Survival,狼节之生存戒
Lupercal Ring of Thievery,狼节之盗贼戒
Lupercal Ring of Toughness,狼节之坚韧戒
Lupercal Ring of Willpower,狼节之意志戒
Primordial Ring of Athletics,原始之力戒
Primordial Ring of Agility,原始之敏捷戒
Primordial Ring of Awareness,原始之警觉戒
Primordial Ring of Crafting,原始之制作戒
Primordial Ring of Defence,原始之防御戒
Primordial Ring of Diplomacy,原始之外交戒
Primordial Ring of Fortitude,原始之坚韧戒
Primordial Ring of Healing,原始之治疗戒
Primordial Ring of the Hero,原始之英雄戒
Primordial Ring of Celerity,原始之迅捷戒
Primordial Ring of Intellect,原始之智力戒
Primordial Ring of Lore,原始之知识戒
Primordial Ring of Presence,原始之气场戒
Primordial Ring of Protection,原始之保护戒
Primordial Ring of Speed,原始之速度戒
Primordial Ring of Stealth,原始敏捷戒指
Primordial Ring of Strength,原始力量戒指
Primordial Ring of Survival,原始生存戒指
Primordial Ring of Thievery,原始偷盗戒指
Primordial Ring of Toughness,原始坚韧戒指
Primordial Ring of Willpower,原始意志戒指
Ruby Ring of Agility,红宝石敏捷戒指
Ruby Ring of Athletics,红宝石体育戒指
Ruby Ring of Awareness,红宝石意识戒指
Ruby Ring of Crafting,红宝石制作戒指
Ruby Ring of Defence,红宝石防御戒指
Ruby Ring of Diplomacy,红宝石外交戒指
Ruby Ring of Fortitude,红宝石坚毅戒指
Ruby Ring of Healing,红宝石治疗戒指
Ruby Ring of Celerity,红宝石迅捷戒指
Ruby Ring of Lore,红宝石知识戒指
Ruby Ring of Presence,红宝石存在戒指
Ruby Ring of Stealth,红宝石偷盗戒指
Ruby Ring of Strength,红宝石力量戒指
Ruby Ring of Survival,红宝石生存戒指
Ruby Ring of Thievery,红宝石窃贼之戒
Ruby Ring of Toughness,红宝石坚毅之戒
Ruby Ring of Willpower,红宝石意志之戒
Sepulchite's Ring of Agility,西普西特敏捷之戒
Sepulchite's Ring of Athletics,西普西特体能之戒
Sepulchite's Ring of Awareness,西普西特警觉之戒
Sepulchite's Ring of Crafting,西普西特制作之戒
Sepulchite's Ring of Defence,西普西特防御之戒
Sepulchite's Ring of Diplomacy,西普西特外交之戒
Sepulchite's Ring of Fortitude,西普西特坚韧之戒
Sepulchite's Ring of Healing,西普西特治疗之戒
Sepulchite's Ring of Celerity,西普西特迅捷之戒
Sepulchite's Ring of Lore,西普西特学识之戒
Sepulchite's Ring of Presence,西普西特威严之戒
Sepulchite's Ring of Speed,西普西特速度之戒
